"Hougang Central Blk 809","SAM","Blk 809 Hougang Central [outside #01-164]","1.37125","103.89385","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Hougang Central PO - 1 [Weighing Scale]","SAM","90 Hougang Avenue 10 #04-15A Hougang Mall","1.37283","103.89357","","930","2200","930","2200","930","2200","930","2200","930","2200","930","2200","930","2200","930","2200","",""
"Hougang Central PO - 2","SAM","90 Hougang Avenue 10 #04-15A Hougang Mall","1.37283","103.89357","","930","2200","930","2200","930","2200","930","2200","930","2200","930","2200","930","2200","930","2200","",""
"Hougang Green","SAM","21 Hougang Street 51 Hougang Green Shopping Mall","1.37932","103.88785","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Hougang HDB Branch Office","SAM","814 Hougang Avenue 10, #01-500, Hougang HDB branch office (Outside entrance)","1.37214","103.89326","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Hougang Street 21 Blk 205 ","SAM","Blk 205 Hougang Street 21 [outside Heartland Mall - facing Kovan NEL station]","1.35955","103.88517","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"IMM - 2","SAM","2 Jurong East St 21 IMM Building, Level 1 [ATM Centre, Opposite Giant]
","1.335","103.74689","","1000","2200","1000","2200","1000","2200","1000","2200","1000","2200","1000","2200","1000","2200","1000","2200","",""
"IMM -3","SAM","2 Jurong East St 21 IMM Building, Level 2 [wall space near Kopitiam food Court: 02-69]","1.335","103.74689","","1000","2200","1000","2200","1000","2200","1000","2200","1000","2200","1000","2200","1000","2200","1000","2200","",""
"IMM PO","SAM","2 Jurong East Street 21 #02-55 IMM Building","1.335","103.74689","","930","2200","930","2200","930","2200","930","2200","930","2200","930","2200","930","2200","930","2200","",""
"ITE College East","SAM","10 Simei Avenue","1.33573","103.95587","","800","2145","800","2145","800","2145","800","2145","800","2145","Closed","Closed","Closed","Closed","Closed","Closed","",""
"Joo Koon MRT","SAM","91 Joo Koon Circle [At Concourse area]","1.32767","103.67828","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Jurong East MRT Station-1 ","SAM","10 Jurong East St.12 Concourse Level [Near escalator]","1.33401","103.74205","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Jurong East St 32, Blk 303 ","SAM","Blk 303 Jurong East St 32 [near stairwell]","1.3449","103.73566","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Jurong East Street 13 Blk 135","SAM","Blk 135 Jurong East street 13 [outside NTUC 4-D outlet]","1.33387","103.73977","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Jurong East Street 24 Blk 253 ","SAM","Blk 253 Jurong East Street 24 [passageway outside #01-263]","1.34324","103.73699","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Jurong East Street 31 Blk 345","SAM","Blk 345 Jurong East Street 31 [near #01-15]","1.34567","103.73135","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Jurong Point PO - 2","SAM","1 Jurong West Central 2 #B1-45 Jurong Point","1.34048","103.70672","","930","2200","930","2200","930","2200","930","2200","930","2200","930","2200","930","2200","930","2200","",""
"Jurong Point PO - 4","SAM","1 Jurong West Central 2 #B1-45 Jurong Point","1.34048","103.70672","","930","2200","930","2200","930","2200","930","2200","930","2200","930","2200","930","2200","930","2200","",""
"Jurong Regional Library","SAM","21 Jurong East Central 1 [Level 1 Auto Lobby, outside main entrance]","1.33317","103.73925","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Jurong Town Council (Jurong East HDB Branch Office)","SAM","Blk 255 Jurong East Street 24, #01-303 [outside wall space near fountain]","1.34437","103.7379","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Jurong West PO","SAM","Blk 492 Jurong West Street 41 #01-42","1.34982","103.72493","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
